brand_hybrid,farm,state,Yield,air.sig995_mean,omega.sig995_mean,pres.sfc_mean,rhum.sig995_mean,uwnd.sig995_mean,vwnd.sig995_mean,six_clusters,six_clus_recoded
AgriGold A6499STXRIB,"Harrisonville, Missouri",,159.3,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,1,6
AgriGold A6499STXRIB,"Lamar, Missouri",,184.4,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,1,6
AgriGold A6499STXRIB,"Mooresville, Missouri",MO,196,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934,1,6
AgriGold A6499STXRIB,"Adrian, Missouri",MO,200.9,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,1,6
AgriGold A6499STXRIB,"Laddonia, Missouri",MO,203.2,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934,1,6
AgriGold A6499STXRIB,"Craig, Missouri",MO,208.4,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,1,6
AgriGold A6499STXRIB,"Columbia, Missouri",,219.1,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934,1,6
AgriGold A6499STXRIB,"Albany, Missouri",,243.6,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,1,6
AgriGold A6499STXRIB,"Canton, Missouri",MO,248.5,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934,1,6
AgriGold A6499STXRIB,"Port Loam, Missouri",MO,283.9,294.644432,-0.0006051,99188.125,76.5991848,0.67228566,1.46426927,1,6
AgriGold A6499STXRIB,"Port Loam, Missouri",MO,290.4,294.644432,-0.0006051,99188.125,76.5991848,0.67228566,1.46426927,1,6
AgriGold A6499STXRIB,"Oran, Missouri",,296.9,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242,1,6
AgriGold A6533VT3PRIB,"Harrisonville, Missouri",,130.4,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,1,6
AgriGold A6533VT3PRIB,"Lamar, Missouri",MO,180.9,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,1,6
AgriGold A6533VT3PRIB,"Adrian, Missouri",MO,185.2,294.908699,-0.0081853,97645.163,71.1345109,-0.0100514,2.2729647,1,6
AgriGold A6533VT3PRIB,"Craig, Missouri",MO,191.5,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,1,6
AgriGold A6533VT3PRIB,"Mooresville, Missouri",MO,203.6,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934,1,6
AgriGold A6533VT3PRIB,"Albany, Missouri",MO,228.6,293.273645,-0.0069529,97607.4185,72.2690217,-0.2240463,1.32187804,1,6
AgriGold A6533VT3PRIB,"Columbia, Missouri",,231.4,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934,2,5
AgriGold A6533VT3PRIB,"Laddonia, Missouri",MO,234.7,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934,2,5
AgriGold A6533VT3PRIB,"Canton, Missouri",,243.6,293.174324,0.0134628,99140.8288,76.111413,0.35829083,0.91589934,2,5
AgriGold A6533VT3PRIB,"Oran, Missouri",,272.1,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242,2,5
AgriGold A6533VT3PRIB,"Port Loam, Missouri",,277.2,294.644432,-0.0006051,99188.125,76.5991848,0.67228566,1.46426927,2,5
AgriGold A6533VT3PRIB,"Port Loam, Missouri",,282.3,294.644432,-0.0006051,99188.125,76.5991848,0.67228566,1.46426927,2,5
Beck-XL 5939AMXT䋢*,"St.Peter, Illinois",IL,194.0455,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
Beck-XL 5939AMXT䋢*,"Mt.Morris, Illinois",IL,229.4826,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,2,5
Beck-XL 5939AMXT䋢*,"DeKalb, Illinois",,235.7931,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,2,5
Beck-XL 5939AMXT䋢*,"Perry, Illinois",,236.1786,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
Beck-XL 5939AMXT䋢*,"Belleville, Illinois",,236.7066,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242,2,5
Beck-XL 5939AMXT䋢*,"Monmouth, Illinois",,246.5435,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
Beck-XL 5939AMXT䋢*,"Urbana, Illinois",,248.1029,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925,2,5
Beck-XL 5939AMXT䋢*,"Dwight, Illinois",,261.9046,292.430981,-0.0165304,99476.875,79.2377717,0.59416041,1.25176925,2,5
Beck-XL 5939AMXT䋢*,"Erie, Illinois",,262.7754,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387,2,5
Beck-XL 5939AMXT䋢*,"Goodfield, Illinois",,263.6884,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
Beck-XL 6365AMX䋢*,"St.Peter, Illinois",,201.9531,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471,2,5
