brand_hybrid,Yield,air.sig995_mean,omega.sig995_mean,pres.sfc_mean,rhum.sig995_mean,uwnd.sig995_mean,vwnd.sig995_mean
Beck-XL 5939AMXT䋢*,235.7931,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Beck-XL 6365AMX䋢*,240.4902,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Burrus-6T54 3000GT,219.7663,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Power Plus-5C17 AMXT,260.1275,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Power Plus-6P75 AMXT,243.8468,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Stone-6378RIB,237.5328,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Beck-XL 5939AMXT䋢*,262.7754,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Beck-XL 6365AMX䋢*,250.4972,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Burrus-6T54 3000GT,265.6161,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Power Plus-5C17 AMXT,275.4398,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Power Plus-6P75 AMXT,248.2037,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Stone-6378RIB,266.5665,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Beck-XL 5939AMXT䋢*,229.4826,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Beck-XL 6365AMX䋢*,236.7107,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Burrus-6T54 3000GT,236.1038,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Power Plus-5C17 AMXT,255.9291,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Power Plus-6P75 AMXT,241.2328,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Stone-6378RIB,219.8343,290.691715,-0.0110821,98128.2745,78.0855978,1.22595384,1.1376387
Beck-XL 5939AMXT䋢*,236.7066,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242
Beck-XL 6365AMX䋢*,266.3214,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242
Burrus-6T54 3000GT,244.9105,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242
Power Plus-5C17 AMXT,245.1417,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242
Power Plus-6P75 AMXT,251.3656,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242
Stone-6378RIB,244.2719,294.597558,0.00282963,99883.6413,78.1467391,0.81644327,1.30068242
Beck-XL 5939AMXT䋢*,194.0455,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Beck-XL 6365AMX䋢*,201.9531,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Burrus-6T54 3000GT,182.5723,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Power Plus-5C17 AMXT,205.4601,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Power Plus-6P75 AMXT,184.374,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Stone-6378RIB,197.7984,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Beck-XL 5939AMXT䋢*,246.5435,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Beck-XL 6365AMX䋢*,271.5821,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Burrus-6T54 3000GT,243.1357,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Power Plus-5C17 AMXT,248.1302,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Power Plus-6P75 AMXT,243.2138,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Stone-6378RIB,250.0824,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Beck-XL 5939AMXT䋢*,236.1786,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Beck-XL 6365AMX䋢*,243.0624,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Burrus-6T54 3000GT,237.0389,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
Power Plus-5C17 AMXT,251.6507,292.736416,0.0144886,99125.9511,76.7866848,0.64225853,1.06902471
